id,firstname,secondname,primary_email,secondary_email,primary_phone,mob_phone,assign_to,photo,invoices_permission,estimates_permission,contracts_permission,proposals_permission,support_permission,projects_permission,created_at,updated_at
1,Nicholaus,Fadel,jessyca16@hahn.com,xmacejkovic@hauck.com,+1-909-993-2235,+1.203.746.6686,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
2,Theo,Reichert,alfreda61@yahoo.com,waino84@hauck.com,+1-469-521-3081,806-695-3341,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
3,Randi,Fadel,sstamm@yahoo.com,colby.rau@adams.com,+14586348524,1-734-448-2939,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
4,Margarete,Robel,yroberts@lemke.biz,verner.ullrich@yahoo.com,"(239) 608-3004","(830) 366-2578",,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
5,Casper,Von,vince65@yahoo.com,gernser@gmail.com,1-847-336-1458,+1-248-701-5499,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
6,Edward,Hintz,okeefe.lea@hilpert.com,yhill@hotmail.com,+1-458-604-5442,1-986-638-8066,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
7,Zakary,Larkin,wharvey@gmail.com,adaugherty@hotmail.com,"(215) 792-9492",786-699-2421,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
8,Antonio,Barrows,wilma04@price.info,bernice18@reichert.biz,+1-410-662-7504,423.259.8962,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
9,Thea,Johnston,hoeger.lilian@yahoo.com,ulices.casper@kuphal.com,657.709.5808,"+1 (947) 354-8428",,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
10,Sabryna,Daugherty,kaylie.eichmann@schmidt.com,noel18@collier.net,+18322692868,848.605.3495,,,,,,,,,2024-04-29T19:49:20.000000Z,2024-04-29T19:49:20.000000Z
